Summary,Issue Type,Description,Epic Name,Priority,Labels
"Discord Integration Foundation & Security",Epic,"Provide a secure multi-tenant integration layer between Nextiva and Discord. Establishes the shared bot, tenant linking model, signature verification, and service auth.",,High,nextiva-discord
"Discord Admin Configuration Experience",Epic,"Enable Nextiva admins to connect Discord servers and manage event-to-channel mappings through the Nextiva web UI.",,High,nextiva-discord
"Ticket Creation From Discord Messages",Epic,"Allow authorized Discord users to create Nextiva tickets directly from Discord messages via slash commands.",,High,nextiva-discord
"Ticket & Alert Notifications to Discord",Epic,"Deliver ticket lifecycle events and priority-based alerts into configured Discord channels.",,High,nextiva-discord
"Observability Metrics & Operations",Epic,"Provide admins and operators visibility into integration health, usage metrics, and operational alerting.",,Medium,nextiva-discord
"Register Shared Discord App/Bot",Story,"Register a single shared Discord App/Bot for all tenants with required scopes (bot, application.commands). Store bot token encrypted in Nextiva secret store.",Discord Integration Foundation & Security,High,nextiva-discord
"Tenant-Discord Server Linking Model",Story,"Define and implement DB schema and CRUD for tenant-server links (tenantId, discordServerId, status, installUserId, timestamps).",Discord Integration Foundation & Security,High,nextiva-discord
"Discord Webhook Signature Verification",Story,"Verify all Discord interaction webhooks using Ed25519. Reject invalid requests with 401. Add security tests for replay attempts.",Discord Integration Foundation & Security,High,nextiva-discord
"Service-to-Service Auth for Nextiva Events",Story,"Secure internal event ingestion endpoint with mTLS or service tokens. Unauthorized callers receive 401/403.",Discord Integration Foundation & Security,High,nextiva-discord
"Connect Discord Server via OAuth",Story,"Allow Nextiva admin to connect a Discord server via OAuth. Exchange code for tokens; fetch and store guild info. Handle success and error redirects.",Discord Admin Configuration Experience,High,nextiva-discord
"List Connected Discord Servers in UI",Story,"Display all Discord servers linked to the tenant via GET /api/integrations/discord/servers. Show server name, status, install date.",Discord Admin Configuration Experience,High,nextiva-discord
"Fetch and Display Discord Channels",Story,"Call Discord API to list text channels for a server. Use GET /api/integrations/discord/servers/{serverId}/channels. Only show channels where bot can post.",Discord Admin Configuration Experience,High,nextiva-discord
"Configure Event-to-Channel Mappings",Story,"Allow admins to map event types (ticket.created, ticket.resolved) to channels with optional filters. Persist via PUT /api/integrations/discord/event-mappings.",Discord Admin Configuration Experience,High,nextiva-discord
"Slash Command /nextiva-ticket Registration",Story,"Register /nextiva-ticket in Discord. Handler receives guild_id, channel_id, user. Return clear error for unsupported servers.",Ticket Creation From Discord Messages,High,nextiva-discord
"Ticket Creation Modal Flow",Story,"Present Discord modal with Title, Category/Queue, Priority. Pre-fill title from message. Validate required fields.",Ticket Creation From Discord Messages,High,nextiva-discord
"Create Ticket in Nextiva From Discord",Story,"Call Nextiva Ticket API with tenant ID, description, metadata. Store discord_ticket_links. Post confirmation embed with ticket ID and deep link.",Ticket Creation From Discord Messages,High,nextiva-discord
"Role-Based Control for Ticket Creation",Story,"Support config for allowed Discord roles/channels. Reject commands from disallowed sources. Audit blocked attempts.",Ticket Creation From Discord Messages,Medium,nextiva-discord
"Ingest Ticket Lifecycle Events",Story,"Accept ticket.created and ticket.resolved events at /internal/nextiva/events. Validate payloads. Queue for Event Router processing.",Ticket & Alert Notifications to Discord,High,nextiva-discord
"Event Routing Based on Mappings",Story,"Load mappings for tenant and event type. Apply filters (e.g. min priority). Enqueue dispatch for each matching mapping.",Ticket & Alert Notifications to Discord,High,nextiva-discord
"Send Discord Embeds for Ticket Events",Story,"Post rich embeds with ticket ID, title, status, priority, requester, link. Handle rate limits and permission errors. Log failures.",Ticket & Alert Notifications to Discord,High,nextiva-discord
"Basic Alerting for High-Priority Tickets",Story,"Support priority filter in mappings. Route high-priority events to #alerts channels. Show alert vs support channel distinction in UI.",Ticket & Alert Notifications to Discord,Medium,nextiva-discord
"Integration Health Status in UI",Story,"Show per-tenant status: Connected / Partially Configured / Error. Include actionable error messages (e.g. bot lacks permission).",Observability Metrics & Operations,Medium,nextiva-discord
"Usage Metrics Endpoint",Story,"Expose GET /api/integrations/discord/metrics with tickets created via Discord and events posted. Support date range.",Observability Metrics & Operations,Medium,nextiva-discord
"Structured Logging and Alerting",Story,"Log tenantId, eventType, status, errorCode. Dashboards for delivery success, command volume, error rate. Alerts on failure threshold breach.",Observability Metrics & Operations,Medium,nextiva-discord
